"","weather","incidentTotal","fatalitiesTotal","injuriesTotal","propDmgTotal","cropDmgTotal","damageTotal"
"1","rain",5269,16,47,347421930,126948800,2187005528410
"2","storm",96513,238,3707,11372508690,6170401300,1300293708716140
"3","sun",19,33,129,144062000,20000,1727477000
"4","cloud",2382,0,0,65100,0,60232600
"5","hot",0,0,0,0,0,0
"6","cold",1333,155,23,121883050,9855050,164340011300
"7","dry",4,0,0,114000,9000,348000
"8","wet",0,0,0,0,0,0
"9","windy",0,0,0,0,0,0
"10","hurricane",109,76,943,38981153000,5332292800,2645577478000
"11","typhoon",5,0,0,15730000,825000,21545000
"12","sand storms",0,0,0,0,0,0
"13","snow storms",0,0,0,0,0,0
"14","tornado",9381,1089,11960,17766781890,355883660,68409204678970
"15","humid",0,0,0,0,0,0
"16","fog",960,0,8,5056000,0,2163510000
"17","snow",6628,12,92,219828000,131673100,1954538998200
"18","thundersnow",0,0,0,0,0,0
"19","hail",80247,2,310,7996628190,2053714950,431708094079920
"20","sleet",54,0,0,0,0,0
"21","drought",1401,4,19,233921000,1652746000,2494735493000
"22","wildfire",1784,59,555,3498865470,186602900,5157665461620
"23","blizzard",1742,23,407,94981000,112060000,333266173000
"24","avalanche",154,83,58,2385800,0,197546900
"25","mist",0,0,0,0,0,0
"26","freez",1024,0,0,10680000,932376000,535913524000
"27","dust",52,1,25,381130,0,9627230
"28","flood",35964,679,7165,146020592690,11736225050,4767850583170340
"29","other",34512,1012,4639,3939251930,1849761600,148355939818960
